Video_index,Video_name,Video_category,Start_times,End_times,Action_labels,Nouns
1,OP01-R01-PastaSalad-66680-68130,OP01-R01-PastaSalad,66680,68130,3,pasta_container
2,OP01-R01-PastaSalad-68320-68920,OP01-R01-PastaSalad,68320,68920,3,lid
3,OP01-R01-PastaSalad-68800-69720,OP01-R01-PastaSalad,68800,69720,3,pot_lid
4,OP01-R01-PastaSalad-73155-75795,OP01-R01-PastaSalad,73155,75795,9,"water,faucet,pot"
5,OP01-R01-PastaSalad-74590-80740,OP01-R01-PastaSalad,74590,80740,9,"water,faucet,pot"
6,OP01-R01-PastaSalad-80995-83228,OP01-R01-PastaSalad,80995,83228,7,pot
7,OP01-R01-PastaSalad-83270-85240,OP01-R01-PastaSalad,83270,85240,5,pot
8,OP01-R01-PastaSalad-85350-86380,OP01-R01-PastaSalad,85350,86380,3,pasta_container
9,OP01-R01-PastaSalad-86460-87420,OP01-R01-PastaSalad,86460,87420,3,pasta_container
10,OP01-R01-PastaSalad-87815-90765,OP01-R01-PastaSalad,87815,90765,10,"pasta,pasta_container,pot"
11,OP01-R01-PastaSalad-93275-94665,OP01-R01-PastaSalad,93275,94665,5,"trash,trash_container"
12,OP01-R01-PastaSalad-95955-100095,OP01-R01-PastaSalad,95955,100095,7,lid
13,OP01-R01-PastaSalad-96620-97740,OP01-R01-PastaSalad,96620,97740,3,lid
14,OP01-R01-PastaSalad-106910-112100,OP01-R01-PastaSalad,106910,112100,1,recipe
15,OP01-R01-PastaSalad-112570-114230,OP01-R01-PastaSalad,112570,114230,3,eating_utensil
16,OP01-R01-PastaSalad-114950-117820,OP01-R01-PastaSalad,114950,117820,1,recipe
17,OP01-R01-PastaSalad-115460-117540,OP01-R01-PastaSalad,115460,117540,1,recipe
18,OP01-R01-PastaSalad-118770-120420,OP01-R01-PastaSalad,118770,120420,5,eating_utensil
19,OP01-R01-PastaSalad-121790-123230,OP01-R01-PastaSalad,121790,123230,2,fridge
20,OP01-R01-PastaSalad-123365-128265,OP01-R01-PastaSalad,123365,128265,3,tomato
21,OP01-R01-PastaSalad-129150-132000,OP01-R01-PastaSalad,129150,132000,6,fridge
22,OP01-R01-PastaSalad-133685-135325,OP01-R01-PastaSalad,133685,135325,3,eating_utensil
23,OP01-R01-PastaSalad-135590-154120,OP01-R01-PastaSalad,135590,154120,4,tomato
24,OP01-R01-PastaSalad-155635-156645,OP01-R01-PastaSalad,155635,156645,3,tomato
25,OP01-R01-PastaSalad-156575-167455,OP01-R01-PastaSalad,156575,167455,4,tomato
26,OP01-R01-PastaSalad-169990-176650,OP01-R01-PastaSalad,169990,176650,4,tomato
27,OP01-R01-PastaSalad-179365-195910,OP01-R01-PastaSalad,179365,195910,4,tomato
28,OP01-R01-PastaSalad-196210-199470,OP01-R01-PastaSalad,196210,199470,7,tomato
29,OP01-R01-PastaSalad-200375-214465,OP01-R01-PastaSalad,200375,214465,4,tomato
30,OP01-R01-PastaSalad-214500-216950,OP01-R01-PastaSalad,214500,216950,7,"tomato,eating_utensil"
31,OP01-R01-PastaSalad-217150-218240,OP01-R01-PastaSalad,217150,218240,7,"tomato,eating_utensil"
